  1       0.19431253       0.13271703       0.20028883       0.10394123
  2       0.19190016       0.12919779       0.19799553       0.10133304
  3       0.19162894       0.12895147       0.19860143       0.10181214
  4       0.19162425       0.12900773       0.19819183       0.10107383
  5       0.19187867       0.12929513       0.19919666       0.10126522
  6       0.19314580       0.13006183       0.19858042       0.10135658
  7       0.19297381       0.13001733       0.19931024       0.10141249
  8       0.19294975       0.13404450       0.20617230       0.10150177
  9       0.19321670       0.13333905       0.21420580       0.10162281
 10       0.19344175       0.12982852       0.19897666       0.10135294
 11       0.19279397       0.12998186       0.19940541       0.10140851
 12       0.19301477       0.13001435       0.19965668       0.10126122
 13       0.19306854       0.13025997       0.19851950       0.10130295
 14       0.19271057       0.12960712       0.19976281       0.10181434
 15       0.19526239       0.13153821       0.19981541       0.10129630
 16       0.19281188       0.13048764       0.19871472       0.10121344
 17       0.19277814       0.13013045       0.19842426       0.10137048
 18       0.19319312       0.12979005       0.20324342       0.10418067
 19       0.20174948       0.13315653       0.20471015       0.10431267
 20       0.19819781       0.13337395       0.20508721       0.10396367
 21       0.19864820       0.13376588       0.20436055       0.10391076
 22       0.19921120       0.14449415       0.20652958       0.10539701
 23       0.20206287       0.13348647       0.20518753       0.10389960
 24       0.19844571       0.13401782       0.20434774       0.10414420
 25       0.19812936       0.13312745       0.20436253       0.10416646
 26       0.19812851       0.13316875       0.20514949       0.10396552
 27       0.19777700       0.13340354       0.20469828       0.10390907
 28       0.19807495       0.13326515       0.20415558       0.10411166
 29       0.19840642       0.13291264       0.20409903       0.10491332
 30       0.20038086       0.13442751       0.20487064       0.10388094
 31       0.19814302       0.13344892       0.20398579       0.10397015
 32       0.19816155       0.13316526       0.20407219       0.10399445
 33       0.19783772       0.13288806       0.20439301       0.10391469
 34       0.19764562       0.13292865       0.20426079       0.10662592
 35       0.20453075       0.13419939       0.20459259       0.10390052
 36       0.19843923       0.13298357       0.20477580       0.10408844
 37       0.19831603       0.13339757       0.20477481       0.10399199
 38       0.19848730       0.13321132       0.20437732       0.10396732
 39       0.19849406       0.13318399       0.20457392       0.10425640
 40       0.19849394       0.13330617       0.20455618       0.10389677
 41       0.19831380       0.13360925       0.20426248       0.10399219
 42       0.19801249       0.13350504       0.20437409       0.10445734
 43       0.19906953       0.13337081       0.20450739       0.10419851
 44       0.19850298       0.13332130       0.20493462       0.10385370
 45       0.19821507       0.13367105       0.20416568       0.10390791
 46       0.19877821       0.13341565       0.20414466       0.10393712
 47       0.19806218       0.13315808       0.21336896       0.10541091
 48       0.19829396       0.13330270       0.20489458       0.10392919
 49       0.19828864       0.13328492       0.20438851       0.10386223
 50       0.19815270       0.12966406       0.19854250       0.10120853
 51       0.19282412       0.12951357       0.19835677       0.10120140
 52       0.19519086       0.13388262       0.20462164       0.10397703
 53       0.19787852       0.13345696       0.20421059       0.10388307
 54       0.19846920       0.13329113       0.20459937       0.10421776
 55       0.19771774       0.13338333       0.20427564       0.10409306
 56       0.19830821       0.13349767       0.20408826       0.10398976
 57       0.19861255       0.13336117       0.20405191       0.10403297
 58       0.19841880       0.13344993       0.20493286       0.10416173
